# x	y	u	v	mask
112.0000	 16.0000	 -0.0296	 -0.6020	  0.0000
120.0000	 16.0000	 -0.5750	 -0.2617	  0.0000
128.0000	 16.0000	  0.0817	 -0.0815	  0.0000
136.0000	 16.0000	  0.1835	 -0.0970	  0.0000
144.0000	 16.0000	 -0.6462	 -0.1028	  0.0000
152.0000	 16.0000	  0.2272	 -0.1534	  0.0000
160.0000	 16.0000	 -0.0386	 -0.3334	  0.0000
168.0000	 16.0000	 -0.1245	 -0.4133	  0.0000
176.0000	 16.0000	 -0.1974	 -0.4606	  0.0000
184.0000	 16.0000	 -1.2289	 -0.0469	  0.0000
192.0000	 16.0000	 -4.3207	  1.0530	  0.0000
200.0000	 16.0000	 -7.3276	 -2.5599	  1.0000
208.0000	 16.0000	 -2.1555	 -3.0956	  0.0000
216.0000	 16.0000	 -5.7816	  5.4181	  0.0000
224.0000	 16.0000	 -6.0013	  8.7507	  0.0000
232.0000	 16.0000	  3.6085	  7.1019	  0.0000
240.0000	 16.0000	 -8.5869	  6.7172	  0.0000
248.0000	 16.0000	 -7.4463	  9.1152	  0.0000
256.0000	 16.0000	  2.7137	  7.4336	  0.0000
264.0000	 16.0000	 -2.3870	  3.5584	  0.0000
272.0000	 16.0000	-11.3540	 -1.4473	  0.0000
280.0000	 16.0000	-28.5702	 -1.2416	  0.0000
288.0000	 16.0000	 -8.4471	 -3.4992	  0.0000
296.0000	 16.0000	 -8.3498	  3.3979	  0.0000
304.0000	 16.0000	-23.8841	  5.3745	  1.0000
312.0000	 16.0000	-14.1465	 -0.7209	  1.0000
320.0000	 16.0000	-11.7818	 -0.4768	  0.0000
328.0000	 16.0000	-16.3768	 -1.0485	  0.0000
336.0000	 16.0000	 -6.0008	  0.1996	  0.0000
344.0000	 16.0000	 -4.5348	 -3.6803	  0.0000
352.0000	 16.0000	 -1.8525	 -7.3039	  0.0000
360.0000	 16.0000	-17.6630	 -3.1461	  1.0000
368.0000	 16.0000	-29.2669	 -2.2739	  0.0000
376.0000	 16.0000	 -7.9319	 -1.2889	  0.0000
384.0000	 16.0000	-25.4118	 -1.8328	  0.0000
392.0000	 16.0000	 -9.8246	 -2.0423	  0.0000
400.0000	 16.0000	 -4.5830	  1.2087	  0.0000
408.0000	 16.0000	 -8.0490	  0.1633	  0.0000
416.0000	 16.0000	 -6.6494	 -5.4746	  0.0000
424.0000	 16.0000	-22.6676	 -8.7201	  0.0000
432.0000	 16.0000	  5.1660	 -3.7300	  0.0000
440.0000	 16.0000	 -8.7425	  8.0235	  0.0000
448.0000	 16.0000	 -6.1458	  4.0768	  0.0000
456.0000	 16.0000	 -2.3159	  0.6178	  0.0000
464.0000	 16.0000	 -0.4783	 -0.5063	  0.0000
472.0000	 16.0000	  0.3529	 -0.0793	  0.0000
480.0000	 16.0000	  0.0891	  0.0686	  0.0000
488.0000	 16.0000	 -0.2549	 -0.1810	  0.0000
496.0000	 16.0000	 -0.0152	 -0.3176	  0.0000
504.0000	 16.0000	  0.3335	 -0.2923	  0.0000
512.0000	 16.0000	  0.3466	 -0.1682	  0.0000
520.0000	 16.0000	 -0.4388	  0.4812	  0.0000
528.0000	 16.0000	  0.0000	  0.0000	  1.0000
536.0000	 16.0000	     nan	     nan	  1.0000
544.0000	 16.0000	     nan	     nan	  1.0000
552.0000	 16.0000	     nan	     nan	  1.0000
560.0000	 16.0000	     nan	     nan	  1.0000
568.0000	 16.0000	     nan	     nan	  1.0000
576.0000	 16.0000	     nan	     nan	  1.0000
584.0000	 16.0000	     nan	     nan	  1.0000
592.0000	 16.0000	     nan	     nan	  1.0000
600.0000	 16.0000	     nan	     nan	  1.0000
608.0000	 16.0000	     nan	     nan	  1.0000
616.0000	 16.0000	     nan	     nan	  1.0000
624.0000	 16.0000	     nan	     nan	  1.0000
632.0000	 16.0000	     nan	     nan	  1.0000
640.0000	 16.0000	     nan	     nan	  1.0000
648.0000	 16.0000	 -0.1309	 -1.4102	  1.0000
656.0000	 16.0000	  0.2236	  0.1446	  0.0000
664.0000	 16.0000	  0.0984	 -0.3396	  0.0000
  8.0000	 24.0000	 -2.2827	 -1.7800	  0.0000
 16.0000	 24.0000	 -0.7611	 -0.5489	  0.0000
 24.0000	 24.0000	 -0.7884	 -0.4823	  0.0000
 32.0000	 24.0000	 -0.1837	 -0.4311	  0.0000
 40.0000	 24.0000	     nan	     nan	  1.0000
 48.0000	 24.0000	     nan	     nan	  1.0000
 56.0000	 24.0000	     nan	     nan	  1.0000
 64.0000	 24.0000	     nan	     nan	  1.0000
 72.0000	 24.0000	 -0.4346	 -0.1680	  0.0000
 80.0000	 24.0000	 -0.0143	 -0.2128	  0.0000
 88.0000	 24.0000	 -0.3497	 -0.1949	  0.0000
 96.0000	 24.0000	  0.6486	 -1.2693	  0.0000
104.0000	 24.0000	 -0.3992	 -0.8530	  0.0000
112.0000	 24.0000	 -0.2981	 -0.6091	  0.0000
120.0000	 24.0000	 -0.7403	 -0.5041	  0.0000
128.0000	 24.0000	  0.1483	 -0.4081	  0.0000
136.0000	 24.0000	  0.1670	 -0.3621	  0.0000
144.0000	 24.0000	 -0.8859	 -0.3261	  0.0000
152.0000	 24.0000	 -0.1102	 -0.3073	  0.0000
160.0000	 24.0000	 -0.1033	  0.4925	  0.0000
168.0000	 24.0000	 -1.0140	  1.4684	  0.0000
176.0000	 24.0000	  4.0619	  3.4343	  0.0000
184.0000	 24.0000	 -1.0041	 -1.5179	  0.0000
192.0000	 24.0000	 -4.2464	 -4.0005	  0.0000
200.0000	 24.0000	 17.1003	-14.5720	  1.0000
208.0000	 24.0000	 13.2397	  5.8068	  0.0000
216.0000	 24.0000	 -1.0505	 20.2804	  0.0000
224.0000	 24.0000	 -4.3560	  1.8503	  0.0000
232.0000	 24.0000	  0.8374	 -1.5381	  0.0000
240.0000	 24.0000	 -4.4482	 -0.6414	  0.0000
248.0000	 24.0000	-13.5950	  0.9145	  0.0000
256.0000	 24.0000	-14.2342	 -4.1741	  0.0000
264.0000	 24.0000	-14.3028	 -1.4822	  0.0000
272.0000	 24.0000	 -9.9472	 10.4574	  0.0000
280.0000	 24.0000	 -0.8210	 -2.1320	  0.0000
288.0000	 24.0000	-14.9878	 -2.6585	  0.0000
296.0000	 24.0000	-20.0874	  4.6360	  0.0000
304.0000	 24.0000	-21.8395	  1.1350	  1.0000
312.0000	 24.0000	-18.2579	 -0.1836	  1.0000
320.0000	 24.0000	-38.8293	  3.5414	  0.0000
328.0000	 24.0000	-28.2469	  3.0105	  0.0000
336.0000	 24.0000	-14.7346	  1.9841	  0.0000
344.0000	 24.0000	-38.9931	  1.3257	  0.0000
352.0000	 24.0000	-46.7366	  1.3988	  0.0000
360.0000	 24.0000	-18.6174	  1.3620	  1.0000
368.0000	 24.0000	-40.2303	  0.7075	  0.0000
376.0000	 24.0000	-25.7611	  2.8476	  0.0000
384.0000	 24.0000	-11.9632	 -3.5224	  0.0000
392.0000	 24.0000	 -7.8807	 -5.6161	  0.0000
400.0000	 24.0000	 -3.3104	  0.1939	  0.0000
408.0000	 24.0000	-15.9630	  2.1446	  0.0000
416.0000	 24.0000	-15.3634	 -1.0913	  0.0000
424.0000	 24.0000	-25.9128	  0.0241	  0.0000
432.0000	 24.0000	 -9.1847	 -0.9939	  0.0000
440.0000	 24.0000	-21.9823	 -3.3333	  0.0000
448.0000	 24.0000	-12.4577	 -1.4141	  0.0000
456.0000	 24.0000	 -4.1668	  1.1381	  0.0000
464.0000	 24.0000	-13.4276	 -0.1615	  1.0000
472.0000	 24.0000	-11.5265	 -2.4112	  0.0000
480.0000	 24.0000	  0.3092	 -0.0243	  0.0000
488.0000	 24.0000	 -0.1868	  0.2175	  0.0000
496.0000	 24.0000	  0.0262	  0.3521	  0.0000
504.0000	 24.0000	  0.2412	  0.0476	  0.0000
512.0000	 24.0000	  0.1302	 -0.1381	  0.0000
520.0000	 24.0000	  0.1501	 -0.0072	  0.0000
528.0000	 24.0000	  0.0231	  0.1965	  0.0000
536.0000	 24.0000	 -1.7809	  0.0000	  1.0000
544.0000	 24.0000	     nan	     nan	  1.0000
552.0000	 24.0000	     nan	     nan	  1.0000
560.0000	 24.0000	     nan	     nan	  1.0000
568.0000	 24.0000	     nan	     nan	  1.0000
576.0000	 24.0000	     nan	     nan	  1.0000
584.0000	 24.0000	     nan	     nan	  1.0000
592.0000	 24.0000	     nan	     nan	  1.0000
600.0000	 24.0000	     nan	     nan	  1.0000
608.0000	 24.0000	     nan	     nan	  1.0000
616.0000	 24.0000	     nan	     nan	  1.0000
624.0000	 24.0000	     nan	     nan	  1.0000
632.0000	 24.0000	     nan	     nan	  1.0000
640.0000	 24.0000	     nan	     nan	  1.0000
648.0000	 24.0000	 54.0000	  9.0000	  1.0000
656.0000	 24.0000	 -0.2482	  0.3584	  0.0000
664.0000	 24.0000	 -0.1581	  0.3609	  0.0000
  8.0000	 32.0000	 -0.4122	 -0.9634	  0.0000
 16.0000	 32.0000	 -0.9631	 -0.5722	  0.0000
 24.0000	 32.0000	 -0.2174	  0.9079	  0.0000
 32.0000	 32.0000	 -0.3787	  1.6309	  0.0000
 40.0000	 32.0000	     nan	     nan	  1.0000
 48.0000	 32.0000	 -0.4783	 -0.2562	  0.0000
 56.0000	 32.0000	 -0.5426	 -0.3591	  0.0000
 64.0000	 32.0000	 -0.9805	 -0.4789	  0.0000
 72.0000	 32.0000	 -0.6585	 -0.7686	  0.0000
